Time,Node,IfIndex,qIndex,PfcType,Time
+1013959329.0ns,s7,0,0,R,0
+1013960937.0ns,s41,0,0,R,0
+1013961821.0ns,s43,0,0,P,0
+1013961828.0ns,s43,0,0,R,0
+1013961850.0ns,s43,0,0,P,0
+1013961869.0ns,s43,0,0,R,0
+1013961879.0ns,s43,0,0,P,0
+1013963353.0ns,s7,0,0,P,0
+1013963375.0ns,s7,0,0,R,0
+1013963472.0ns,s7,0,0,P,0
+1013964880.0ns,s41,0,0,P,0
+1013966034.0ns,s43,0,0,R,0
+1013967659.0ns,s7,0,0,R,0
+1013969035.0ns,s41,0,0,R,0
+1013969919.0ns,s43,0,0,P,0
+1013969920.0ns,s43,0,0,R,0
+1013969948.0ns,s43,0,0,P,0
+1013969967.0ns,s43,0,0,R,0
+1013969977.0ns,s43,0,0,P,0
+1013970374.0ns,s7,0,0,P,0
+1013972978.0ns,s41,0,0,P,0
+1013974132.0ns,s43,0,0,R,0
+1013975751.0ns,s7,0,0,R,0
+1013977162.0ns,s41,0,0,R,0
+1013978017.0ns,s43,0,0,P,0
+1013978045.0ns,s43,0,0,R,0
+1013978046.0ns,s43,0,0,P,0
+1013978065.0ns,s43,0,0,R,0
+1013978075.0ns,s43,0,0,P,0
+1013979775.0ns,s7,0,0,P,0
+1013979797.0ns,s7,0,0,R,0
+1013979894.0ns,s7,0,0,P,0
+1013981076.0ns,s41,0,0,P,0
+1013982230.0ns,s43,0,0,R,0
+1013984081.0ns,s7,0,0,R,0
+1013985253.0ns,s41,0,0,R,0
+1013986115.0ns,s43,0,0,P,0
+1013986137.0ns,s43,0,0,R,0
+1013986144.0ns,s43,0,0,P,0
+1013986163.0ns,s43,0,0,R,0
+1013986173.0ns,s43,0,0,P,0
+1013988105.0ns,s7,0,0,P,0
+1013988127.0ns,s7,0,0,R,0
+1013988224.0ns,s7,0,0,P,0
+1013989225.0ns,s41,0,0,P,0
+1013990328.0ns,s43,0,0,R,0
+1013992411.0ns,s7,0,0,R,0
+1013993329.0ns,s41,0,0,R,0
+1013994213.0ns,s43,0,0,P,0
